,Ticker,Net Income,EPS,Dividends,Payout Ratio,Shares,Book Value/Share,Current Ratio,Quick Ratio,Free Cashflow/Share,Revenue,Gross Margin,Operating Margin,EBT Margin,Net Margin,Return on Assets,Return on Equity,Return on Invested Capital,Interest Coverage,EPS Year on Year,Total Assets,Debt/Equity,5-Year Net Income %,Company Name,Dividend Cover,Dividend Cover
39,XLON:DNLM,74.0,0.36,0.26,71.2,203.0,0.57,1.51,0.3,0,100.0,48.05,10.74,8.92,7.1,17.44,68.71,30.28,52.56,0,100.0,1.31,0.52,Dunelm Group Plc,0.003651685393258427,0.003651685393258427
40,XLON:ECM,149.0,0.34,0.13,37.4,445.0,1.09,1.92,1.07,0,100.0,43.97,10.12,9.89,8.77,13.78,34.33,24.15,15.66,0,100.0,0.21,18.92,Electrocomponents plc,0.0034759358288770055,0.0034759358288770055
41,XLON:ELM,105.0,0.22,0.09,37.8,469.0,1.17,2.3,1.27,0,100.0,37.61,11.75,9.8,12.82,7.94,15.74,10.86,6.62,0,100.0,0.44,1.89,Elementis plc,0.002380952380952381,0.002380952380952381
42,XLON:ETO,65.0,0.14,0.01,9.0,448.0,1.42,1.49,0.74,0,100.0,29.77,10.95,7.43,6.18,3.45,9.71,7.74,3.9,0,100.0,0.7,0,Entertainment One Ltd,0.0011111111111111111,0.0011111111111111111
43,XLON:EQN,7.0,0.02,0.04,207.9,356.0,1.36,1.48,1.37,0,100.0,81.3,5.25,4.57,1.63,0.73,1.69,0.7,3.54,0,100.0,0.78,0,Equiniti Group plc,0.0001924001924001924,0.0001924001924001924
44,XLON:ESNT,3.0,0.01,0.2,0,264.0,2.26,1.55,1.06,0,100.0,0,6.16,-0.34,0.26,0.21,0.42,1.06,0.65,0,100.0,0.51,16.97,Essentra Plc,0,0
45,XLON:ESUR,75.0,0.17,0.1,54.2,424.0,0.69,0,0,0,100.0,0,0,10.46,8.72,4.4,26.87,0,11.3,0,100.0,0.43,-1.81,esure Group plc,0.0018450184501845018,0.0018450184501845018
46,XLON:ERM,139.0,1.28,0.3,24.5,108.0,3.39,0.72,0.5,0,100.0,0,21.68,38.71,35.28,18.72,42.09,31.65,29.18,0,100.0,0.3,-9.32,Euromoney Institutional Investors plc,0.012244897959183673,0.012244897959183673
47,XLON:EVR,1758.0,1.2,0.73,60.6,1457.0,1.01,1.7,0.85,0,100.0,34.77,23.04,19.93,14.57,18.25,111.55,30.28,7.5,0,100.0,2.3,0,Evraz plc,0.012046204620462046,0.012046204620462046
48,XLON:FDM,35.0,0.32,0.26,82.0,109.0,0.61,2.23,2.23,0,100.0,47.48,19.65,19.63,14.74,36.65,55.41,55.31,0,0,100.0,0,22.24,FDM Group plc,0.0031707317073170734,0.0031707317073170734
49,XLON:FXPO,330.0,0.56,0.06,11.5,588.0,0.99,0.82,0.39,0,100.0,62.36,35.6,31.72,26.94,25.77,50.96,31.45,10.33,-30.87,100.0,0.2,12.89,Ferrexpo plc,0.005217391304347826,0.005217391304347826
50,XLON:FDSA,36.0,0.92,0.43,47.4,39.0,4.3,1.44,1.35,0,100.0,57.39,14.1,14.12,10.08,11.55,21.51,21.35,0,0,100.0,0,3.25,Fidessa Group Plc,0.009071729957805908,0.009071729957805908
51,XLON:FGP,-296.0,-0.24,0,0,1223.0,1.22,0.83,0.52,0,100.0,32.64,1.52,-5.11,-4.63,-5.32,-16.74,-5.51,-1.8,0,100.0,0.9,0,FirstGroup plc,0,0
52,XLON:GNK,163.0,0.52,0.33,63.5,310.0,6.64,0.66,0.49,0,100.0,38.93,17.07,9.07,7.47,3.0,8.12,5.87,2.68,0,100.0,1.04,10.58,Greene King,0.0051968503937007875,0.0051968503937007875
53,XLON:GRG,61.0,0.59,0.32,54.4,102.0,3.01,0.77,0.62,0,100.0,63.23,7.81,7.79,6.17,14.56,21.52,21.52,0,0,100.0,0,7.0,Greggs Plc,0.0058823529411764705,0.0058823529411764705
54,XLON:GVC,84.0,0.15,0.3,117.3,384.0,6.4,0.84,0.77,0,100.0,58.57,17.19,7.45,5.48,1.8,3.43,2.8,6.5,0,100.0,0.59,0,GVC Holdings plc,0.002557544757033248,0.002557544757033248
55,XLON:HFD,55.0,0.28,0.18,64.3,198.0,2.12,1.22,0.36,0,100.0,50.23,6.57,5.91,4.82,7.02,13.19,10.76,32.95,0,100.0,0.22,0.75,Halfords,0.0027993779160186624,0.0027993779160186624
56,XLON:HSX,65.0,0.22,0.38,173.0,292.0,6.41,0,0,0,100.0,0,0,2.61,2.24,0.65,2.71,0,3.44,0,100.0,0.3,-36.18,Hiscox Ltd,0.0021965317919075147,0.0021965317919075147
57,XLON:HOC,31.0,0.06,0.03,55.0,497.0,1.1,1.23,0.95,0,100.0,26.19,15.55,8.32,4.13,2.23,4.28,3.83,4.77,0,100.0,0.14,-8.0,Hochschild Mining Plc,0.0005454545454545455,0.0005454545454545455
58,XLON:HSV,96.0,0.29,0.16,53.5,323.0,1.66,1.04,1.01,0,100.0,0,14.89,13.7,10.7,7.42,20.93,13.63,13.71,0,100.0,0.47,18.11,Homeserve plc,0.0029906542056074765,0.0029906542056074765
59,XLON:HWDN,187.0,0.3,0.11,36.5,616.0,0.78,2.05,1.32,0,100.0,62.12,16.15,16.01,12.75,22.68,44.12,44.49,99.08,0,100.0,0,17.05,Howden Joinery Group Plc,0.0030136986301369864,0.0030136986301369864
60,XLON:HTG,32.0,0.18,0,0,170.0,5.24,4.21,1.63,0,100.0,27.29,3.92,4.16,3.73,2.43,2.85,2.82,59.83,0,100.0,0,0,Hunting plc,0,0
61,XLON:IBST,85.0,0.2,0.09,43.8,409.0,1.13,2.15,1.15,0,100.0,36.53,20.08,21.05,18.72,10.89,19.99,13.83,-48.88,0,100.0,0.36,0,Ibstock plc,0.0020547945205479454,0.0020547945205479454
62,XLON:IGG,226.0,0.61,0.33,53.2,370.0,2.28,3.53,3.35,0,100.0,95.43,46.75,100.0,38.36,22.76,28.71,28.06,157.0,0,100.0,0,9.83,IG Group Holdings Plc,0.006203007518796992,0.006203007518796992
63,XLON:IMI,163.0,0.6,0.39,73.2,271.0,2.28,1.4,0.9,0,100.0,0,15.82,10.19,8.94,9.46,27.06,16.54,10.26,0,100.0,0.72,-6.81,IMI plc,0.005327868852459016,0.005327868852459016
64,XLON:INCH,243.0,0.58,0.27,45.9,417.0,3.6,1.04,0.46,0,100.0,14.01,4.32,3.73,2.67,5.06,17.26,11.03,9.92,0,100.0,0.18,7.82,Inchcape plc,0.005882352941176471,0.005882352941176471
65,XLON:INDV,67.0,0.09,0,0,749.0,-0.05,1.5,1.39,0,100.0,88.91,14.0,10.06,6.3,4.6,0,0,5.12,-10.0,100.0,0,-37.48,Indivior plc,0,0
66,XLON:ISAT,11.0,0.03,0.33,0,462.0,1.82,1.0,0.92,0,100.0,89.83,20.9,3.3,0.77,0.23,0.98,2.31,1.47,-510.0,100.0,2.29,-3.5,Inmarsat Plc,0,0
67,XLON:ICP,251.0,0.89,0.28,32.1,283.0,4.54,2.37,2.2,0,100.0,0,64.0,33.18,41.83,4.05,20.16,15.8,2.28,0,100.0,0.96,15.07,Intermediate Capital Group plc,0.008722741433021807,0.008722741433021807
68,XLON:INTU,-397.0,-0.3,0.14,0,1382.0,3.3,0.66,0.66,0,100.0,69.0,62.88,-110.17,-66.68,-3.75,-8.38,0.16,-0.54,191.09,100.0,1.06,6.81,Intu Properties plc,0,0
69,XLON:FSJ,44.0,0.86,0.28,33.2,51.0,5.62,1.69,1.39,0,100.0,30.56,10.37,10.01,8.17,7.23,15.97,11.36,10.37,0,100.0,0.55,0.23,James Fisher & Sons plc,0.008433734939759036,0.008433734939759036
70,XLON:JLT,111.0,0.51,0.34,66.7,217.0,1.48,1.3,1.2,0,100.0,0,14.35,12.28,7.87,4.0,33.51,11.81,7.33,0,100.0,2.3,2.15,Jardine Lloyd Thompson Group plc,0.005097451274362819,0.005097451274362819
71,XLON:JD.,251.0,0.26,0.02,6.3,973.0,0.88,1.22,0.44,0,100.0,48.7,9.05,8.62,6.89,13.96,33.78,27.28,90.63,0,100.0,0.16,43.0,JD Sports Fashion plc,0.0031746031746031746,0.0031746031746031746
72,XLON:CHOO,24.0,0.06,0,0,378.0,1.27,1.19,0.56,0,100.0,64.08,9.43,7.44,5.99,2.83,4.86,4.42,6.41,0,100.0,0.29,0,Jimmy Choo plc,0,0
73,XLON:JLG,263.0,0.61,0.06,9.2,430.0,3.07,3.03,3.03,0,100.0,0,81.41,77.56,77.62,19.58,20.73,21.07,23.35,0,100.0,0,41.72,John Laing Group plc,0.006521739130434783,0.006521739130434783
74,XLON:JUP,157.0,0.34,0.17,49.9,460.0,1.3,2.0,1.45,0,100.0,89.21,41.58,40.66,32.65,18.73,26.63,26.66,978.5,0,100.0,0,22.46,Jupiter Fund Management PLC,0.0034068136272545095,0.0034068136272545095
75,XLON:JE.,-102.0,-0.15,0,0,682.0,1.09,0.7,0.47,0,100.0,76.86,18.51,-11.76,-15.62,-9.08,-12.74,-11.81,-32.65,0,100.0,0.14,0,Just Eat plc,0,0
76,XLON:JUST,144.0,0.15,0.04,24.2,941.0,1.88,0,0,0,100.0,0,0,5.03,4.51,0.61,8.47,0,1.77,0,100.0,0.32,53.59,Just Group plc,0.0016528925619834713,0.0016528925619834713
77,XLON:KAZ,538.0,1.21,0,0,447.0,2.04,2.62,2.02,0,100.0,53.73,44.46,34.07,26.37,10.05,52.93,14.58,4.26,0,100.0,2.66,0,KAZ Minerals plc,0,0
78,XLON:EMG,267.0,0.16,0.11,66.1,1640.0,0.77,1.02,0.98,0,100.0,0,31.63,25.7,23.99,9.72,16.3,15.09,32.78,0,100.0,0.09,0,Man Group,0.0016641452344931923,0.0016641452344931923
79,XLON:MSLH,45.0,0.23,0.1,45.2,199.0,1.22,1.64,0.94,0,100.0,64.4,12.75,12.18,9.86,10.86,19.34,16.53,34.18,0,100.0,0.29,0,Marshalls Plc,0.0022123893805309734,0.0022123893805309734
80,XLON:MARS,41.0,0.07,0.07,108.7,632.0,1.36,0.69,0.34,0,100.0,0,12.07,4.61,3.84,1.44,4.94,4.48,1.67,0,100.0,1.54,0,Marstons plc,0.0006439742410303588,0.0006439742410303588
81,XLON:MCS,65.0,0.12,0.05,45.0,538.0,1.37,6.53,0.39,0,100.0,18.57,12.59,12.2,9.74,6.92,9.02,8.55,18.19,0,100.0,0.16,0,McCarthy & Stone plc,0.0011111111111111111,0.0011111111111111111
82,XLON:MGGT,289.0,0.36,0.16,43.3,788.0,3.07,1.59,0.76,0,100.0,38.21,11.5,9.7,14.34,5.95,11.89,8.66,6.61,0,100.0,0.48,7.54,Meggitt,0.0036951501154734415,0.0036951501154734415
83,XLON:MRO,-331.0,-0.12,0.04,0,2493.0,1.6,1.5,0.99,0,100.0,20.69,-8.46,-9.6,-8.42,-3.2,-6.79,-4.08,-5.43,0,100.0,0.48,0,Melrose Industries plc,0,0
84,XLON:MTRO,23.0,0.26,0,0,90.0,11.26,0,0,0,100.0,0,0,100.0,6.49,0.14,2.4,0,0,0,100.0,0.23,0,Metro Bank plc,0,0
85,XLON:MLC,110.0,0.34,0.07,19.2,325.0,8.31,1.59,1.28,0,100.0,57.3,17.5,14.9,11.0,2.31,4.1,3.52,6.73,-47.9,100.0,0.33,-1.69,Millennium & Copthorne Hotels plc,0.003645833333333334,0.003645833333333334
86,XLON:MAB,61.0,0.14,0.07,52.8,425.0,3.98,0.51,0.47,0,100.0,44.67,13.95,3.25,2.79,1.23,3.78,4.63,1.55,0,100.0,1.04,-2.09,Mitchells & Butlers Plc,0.001325757575757576,0.001325757575757576
87,XLON:MTO,-27.0,-0.07,0.01,0,360.0,-0.07,0.81,0.78,0,100.0,14.02,4.03,-1.12,-1.23,-2.77,-85.35,-4.33,-0.73,0,100.0,0,0,Mitie Group,0,0
88,XLON:MONY,80.0,0.14,0.1,70.0,538.0,0.32,1.32,1.22,0,100.0,73.5,31.85,29.07,23.75,34.43,50.41,50.82,110.22,0,100.0,0,25.76,Moneysupermarket.Com,0.0014285714285714286,0.0014285714285714286
89,XLON:MGAM,57.0,0.2,0.11,55.8,287.0,0.78,1.51,0.95,0,100.0,0,11.51,8.57,5.56,5.74,28.35,14.64,5.7,0,100.0,0.88,6.92,Morgan Advanced Materials plc,0.001971326164874552,0.001971326164874552
90,XLON:NEX,137.0,0.27,0.14,50.6,513.0,2.3,0.65,0.58,0,100.0,0,9.21,7.66,6.11,4.21,12.16,8.0,4.69,0,100.0,0.89,16.9,National Express,0.002766798418972332,0.002766798418972332
91,XLON:NRR,46.0,0.16,0.21,129.6,286.0,2.94,3.68,3.68,0,100.0,80.98,63.75,46.42,45.24,3.64,5.8,4.92,4.2,0,100.0,0.51,98.13,NewRiver REIT plc,0.0016203703703703703,0.0016203703703703703
92,XLON:PFC,-116.0,-0.34,0.38,0,340.0,1.55,1.12,0.97,0,100.0,12.24,8.67,-1.92,-1.92,-1.63,-13.48,-5.43,-0.58,0,100.0,1.72,0,Petrofac,0,0
93,XLON:PETS,63.0,0.13,0.07,60.0,503.0,1.81,1.05,0.64,0,100.0,51.68,9.88,8.85,6.99,4.72,7.02,6.04,17.04,0,100.0,0.21,24.79,Pets At Home Group PLC,0.0011666666666666668,0.0011666666666666668
94,XLON:PHNX,45.0,0.1,0.45,440.3,437.0,5.04,0,0,0,100.0,0,0,0.87,1.12,0.05,1.32,0,1.26,0,100.0,0.48,0,Phoenix Group Holdings,0.0010220304337951397,0.0010220304337951397
95,XLON:PTEC,271.0,0.81,0.36,44.4,350.0,3.91,1.03,1.03,0,100.0,0,15.76,36.43,32.96,9.51,21.82,13.73,13.26,0,100.0,0.93,23.39,Playtech plc,0.008108108108108109,0.008108108108108109
96,XLON:POLY,409.0,0.93,0.43,46.5,438.0,2.31,2.19,0.27,0,100.0,40.14,28.37,26.18,21.29,12.37,33.28,15.7,9.82,0,100.0,1.11,-2.14,Polymetal International plc,0.009247311827956989,0.009247311827956989
97,XLON:PLP,34.0,0.17,0.11,49.1,200.0,1.57,1.58,0.96,0,100.0,41.76,15.51,13.4,8.13,5.53,10.92,7.66,10.05,0,100.0,0.59,10.35,Polypipe Group plc,0.002240325865580448,0.002240325865580448
98,XLON:PFG,-179.0,-0.9,0,0,216.0,2.68,4.11,4.1,0,100.0,0,33.26,-15.52,-15.61,-6.12,-25.46,-5.41,-4.47,0,100.0,2.58,0,Provident Financial plc,0,0
99,XLON:PZC,48.0,0.11,0.08,72.6,418.0,1.08,0.85,0.56,0,100.0,37.39,11.05,8.73,6.25,4.36,9.99,6.83,11.25,0,100.0,0,-5.44,PZ Cussons Plc,0.0011019283746556475,0.0011019283746556475
100,XLON:QQ.,138.0,0.24,0.06,25.1,567.0,1.31,1.3,1.16,0,100.0,0,14.36,17.38,16.58,12.72,21.64,21.64,207.86,0,100.0,0,0,QinetiQ Group plc,0.002390438247011952,0.002390438247011952
101,XLON:RNK,59.0,0.15,0.07,48.0,392.0,1.01,0.58,0.57,0,100.0,44.87,12.58,10.92,8.48,8.35,15.84,12.97,26.7,0,100.0,0.07,0,Rank Group,0.0014583333333333334,0.0014583333333333334
102,XLON:RAT,61.0,1.18,0.61,51.6,51.0,8.12,0,0,0,100.0,0,0,25.61,20.43,2.16,15.34,0,0,0,100.0,0.04,9.9,Rathbone Brothers plc,0.011821705426356589,0.011821705426356589
103,XLON:RDW,308.0,0.85,0.2,23.4,362.0,4.01,3.23,0.17,0,100.0,24.43,19.9,19.79,16.04,13.37,22.66,21.78,39.0,0,100.0,0,41.81,Redrow plc,0.008547008547008548,0.008547008547008548
104,XLON:RSW,133.0,1.83,0.54,29.4,73.0,7.54,3.72,2.59,0,100.0,53.41,24.26,25.38,21.74,19.19,26.76,26.92,98.81,0,100.0,0,13.87,Renishaw plc,0.018367346938775512,0.018367346938775512
105,XLON:RTN,32.0,0.16,0.17,109.9,201.0,0.94,0.32,0.16,0,100.0,10.8,7.3,6.34,4.74,7.76,16.81,14.83,32.97,0,100.0,0.17,-7.35,Restaurant Group,0.0015468607825295723,0.0015468607825295723
106,XLON:RMV,153.0,0.17,0.06,34.8,917.0,0.02,1.29,1.13,0,100.0,0,74.14,74.06,59.88,218.05,969.39,519.67,0,0,100.0,0.63,18.16,Rightmove plc,0.0017241379310344827,0.0017241379310344827
107,XLON:ROR,59.0,0.07,0.05,79.4,872.0,0.54,2.04,1.42,0,100.0,44.75,13.41,12.84,8.83,7.98,12.78,11.03,21.17,0,100.0,0.1,-9.04,Rotork plc,0.0006297229219143577,0.0006297229219143577
108,XLON:RMG,259.0,0.26,0.23,90.6,999.0,4.43,0.89,0.85,0,100.0,41.27,2.16,2.08,2.55,3.32,5.49,5.02,15.13,0,100.0,0.12,-14.35,Royal Mail PLC,0.0025386313465783667,0.0025386313465783667
109,XLON:SMDS,259.0,0.23,0.14,62.5,1124.0,1.54,0.86,0.54,0,100.0,29.71,6.76,5.07,4.49,4.79,14.96,9.4,6.03,0,100.0,0.86,27.42,Smith (DS),0.0022400000000000002,0.0022400000000000002
110,XLON:SCT,43.0,0.21,0.09,41.8,199.0,0.36,1.35,1.25,0,100.0,16.17,5.76,5.77,4.62,18.46,60.94,60.84,0,0,100.0,0,0,Softcat plc,0.00215311004784689,0.00215311004784689
111,XLON:SOPH,-66.0,-0.14,0.05,0,460.0,0.15,0.54,0.47,0,100.0,77.63,-1.84,-8.16,-10.35,-5.16,-60.69,-13.76,-4.81,0,100.0,3.34,0,Sophos Group plc,0,0
112,XLON:SXS,291.0,2.43,0.56,23.2,120.0,9.79,1.24,0.78,0,100.0,56.85,12.04,21.86,18.9,16.12,26.77,22.01,63.48,0,100.0,0.23,10.69,Spectris plc,0.024137931034482762,0.024137931034482762
113,XLON:SPX,174.0,2.36,0.88,37.0,74.0,8.74,2.71,1.8,0,100.0,0,20.0,18.86,15.59,13.4,29.22,18.08,19.82,0,100.0,0.76,11.85,Spirax-Sarco Engineering plc,0.023783783783783784,0.023783783783783784
114,XLON:SPI,16.0,0.04,0.03,95.0,402.0,2.57,1.44,1.17,0,100.0,46.64,7.54,1.69,1.74,0.93,1.56,1.37,2.24,0,100.0,0.48,0,Spire Healthcare Group plc,0.00031578947368421053,0.00031578947368421053
